,tweets
578,"['Over 60,000 Tigrayan refugees have fled to eastern Sudan since the conflict began in #Tigray , #Ethiopia in November 2020,over a third of which are children. #TigrayGenocide &amp; #TigraySiege must end in order for these families to feel safe enough to return…']"
579,"[""More than 16,000 Ethiopian refugees in Sudan’s eastern refugee settlements of Um Rakuba and Tunaydbah have been impacted after several weeks of storms razed tents, swept away their belongings, and destroyed infrastructure.'#TigrayGenocide #RefugeeWeek2022 https://t.co/p2EMYpxcmC""]"
580,"['🕹More than 16,000 Ethiopian refugees in Sudan’s eastern refugee settlements of Um Rakuba and Tunaydbah have been impacted after several weeks of storms razed tents, swept away their belongings, and destroyed infrastructure.#TigrayGenocide #RefugeeWeek2022 https://t.co/wz8cpf8KZv']"
581,"['Over 60,000 Tigrayan refugees have fled to eastern Sudan since the conflict began in #Tigray , #Ethiopia in November 2020,over a third of which are children. #TigrayGenocide &amp; #TigraySiege must end in order for these families to feel safe enough to return…']"
582,"['🕹Over 60K Tigrayan refugees have fled to eastern Sudan since the conflict began in #Tigray. #Ethiopia in November 2020,over a third of which are children. #TigrayGenocide &amp; #TigraySiege must end in order for these families to feel safe enough to return. #TigrayGenocide @UN @hrw']"
583,"[""More than 16,000 Ethiopian refugees in Sudan’s eastern refugee settlements of Um Rakuba and Tunaydbah have been impacted after several weeks of storms razed tents, swept away their belongings, and destroyed infrastructure.'#TigrayGenocide #RefugeeWeek2022 https://t.co/ybvFrJCgzj""]"
584,"['Over 60,000 Tigrayan refugees have fled to eastern Sudan since the conflict began in #Tigray , #Ethiopia in November 2020,over a third of which are children. #TigrayGenocide &amp; #TigraySiege must end in order for these families to feel safe enough to return…']"
585,"[""More than 16,000 Ethiopian refugees in Sudan’s eastern refugee settlements of Um Rakuba and Tunaydbah have been impacted after several weeks of storms razed tents, swept away their belongings, and destroyed infrastructure.'#TigrayGenocide #RefugeeWeek2022 https://t.co/kirIYJqRCp""]"
586,"['Over 60,000 Tigrayan refugees have fled to eastern Sudan since the conflict began in #Tigray , #Ethiopia in November 2020,over a third of which are children. #TigrayGenocide &amp; #TigraySiege must end in order for these families to feel safe enough to return…']"
587,"['Over 60,000 Tigrayan refugees have fled to eastern Sudan since the conflict began in #Tigray , #Ethiopia in November 2020,over a third of which are children. #TigrayGenocide &amp; #TigraySiege must end in order for these families to feel safe enough to return.']"
588,"['Over 60,000 Tigrayan refugees have fled to eastern Sudan since the conflict began in #Tigray , #Ethiopia in November 2020,over a third of which are children. #TigrayGenocide &amp; #TigraySiege must end in order for these families to feel safe enough to return…']"
589,"['Over 60,000 Tigrayan refugees have fled to eastern Sudan since the conflict began in #Tigray , #Ethiopia in November 2020,over a third of which are children. #TigrayGenocide &amp; #TigraySiege must end in order for these families to feel safe enough to return…']"
590,"[""More than 16,000 Ethiopian refugees in Sudan’s eastern refugee settlements of Um Rakuba and Tunaydbah have been impacted after several weeks of storms razed tents, swept away their belongings, and destroyed infrastructure.'#TigrayGenocide #RefugeeWeek2022 https://t.co/L9ZEUzYic7""]"
591,"[""More than 16,000 Ethiopian refugees in Sudan’s eastern refugee settlements of Um Rakuba and Tunaydbah have been impacted after several weeks of storms razed tents, swept away their belongings, and destroyed infrastructure.'#TigrayGenocide #RefugeeWeek2022 https://t.co/0SF5c1Ef3e""]"
592,"[""More than 16,000 Ethiopian refugees in Sudan’s eastern refugee settlements of Um Rakuba and Tunaydbah have been impacted after several weeks of storms razed tents, swept away their belongings, and destroyed infrastructure.'#TigrayGenocide #RefugeeWeek2022 https://t.co/mjifNAhBQn""]"
593,"['Over 60,000 Tigrayan refugees have fled to eastern Sudan since the conflict began in #Tigray , #Ethiopia in November 2020,over a third of which are children. #TigrayGenocide &amp; #TigraySiege must end in order for these families to feel safe enough to return… #TigrayGenocide']"
594,"['Over 60,000 Tigrayan refugees have fled to eastern Sudan since the conflict began in #Tigray , #Ethiopia in November 2020,over a third of which are children. #TigrayGenocide &amp; #TigraySiege must end in order for these families to feel safe enough to return…']"
595,"['@pl8spin European leaders have supported immigrants and refugees to avoid losing votes, but the situation can be reversed if all Europeans agree that eastern culture cannot be integrated with western culture.']"
596,"['Over 60,000 Tigrayan refugees have fled to eastern Sudan since the conflict began in #Tigray, Ethiopia in Novemb2020,over a third of which are children. In order for these families to feel safe enough to return #EndTigraySiege &amp; STOP #TigrayGenocide.\n@UNmigration #RefugeeWeek2022']"
597,"['Over 60,000 #Tigrayan refugees have fled to eastern Sudan since the conflict began in #Tigray , #Ethiopia in November 2020,over a third of which are children. #TigrayGenocide &amp; #TigraySiege must end in order for these families to feel safe enough to return…']"
598,"[""More than 16,000 Ethiopian refugees in Sudan’s eastern refugee settlements of Um Rakuba and Tunaydbah have been impacted after several weeks of storms razed tents, swept away their belongings, and destroyed infrastructure.'#TigrayGenocide #RefugeeWeek2022 https://t.co/aHOTRFhZND""]"
599,"[""More than 16,000 Ethiopian refugees in Sudan’s eastern refugee settlements of Um Rakuba and Tunaydbah have been impacted after several weeks of storms razed tents, swept away their belongings, and destroyed infrastructure.'#TigrayGenocide #RefugeeWeek2022 https://t.co/1wrW0bKtgO""]"
600,"['Over 60,000 Tigrayan refugees have fled to eastern Sudan since the conflict began in #Tigray , #Ethiopia in November 2020,over a third of which are children. #TigrayGenocide &amp; #TigraySiege must end in order for these families to feel safe enough to return…']"
601,"['Over 60,000 Tigrayan refugees have fled to eastern Sudan since the conflict began in #Tigray , #Ethiopia in November 2020,over a third of which are children. #TigrayGenocide &amp; #TigraySiege must end in order for these families to feel safe enough to return…']"
602,"[""More than 16,000 Ethiopian refugees in Sudan’s eastern refugee settlements of Um Rakuba and Tunaydbah have been impacted after several weeks of storms razed tents, swept away their belongings, and destroyed infrastructure.'#TigrayGenocide #RefugeeWeek2022 https://t.co/mjifNAhBQn""]"
603,"[""More than 16,000 Ethiopian refugees in Sudan’s eastern refugee settlements of Um Rakuba and Tunaydbah have been impacted after several weeks of storms razed tents, swept away their belongings, and destroyed infrastructure.'#TigrayGenocide #RefugeeWeek2022 https://t.co/BaYlvpAQte""]"
604,"['Over 60,000 Tigrayan refugees have fled to eastern Sudan since the conflict began in #Tigray , #Ethiopia in November 2020,over a third of which are children. #TigrayGenocide &amp; #TigraySiege must end in order for these families to feel safe enough to return…']"
605,"[""More than 16,000 Ethiopian refugees in Sudan’s eastern refugee settlements of Um Rakuba and Tunaydbah have been impacted after several weeks of storms razed tents, swept away their belongings, and destroyed infrastructure.'#TigrayGenocide #RefugeeWeek2022 https://t.co/dzLJ90G83A""]"
606,"['Over 60,000 Tigrayan refugees have fled to eastern Sudan since the conflict began in #Tigray , #Ethiopia in November 2020,over a third of which are children. #TigrayGenocide &amp; #TigraySiege must end in order for these families to feel safe enough to return…']"
607,"[""More than 16,000 Ethiopian refugees in Sudan’s eastern refugee settlements of Um Rakuba and Tunaydbah have been impacted after several weeks of storms razed tents, swept away their belongings, and destroyed infrastructure.'#TigrayGenocide #RefugeeWeek2022 https://t.co/3NQHDe2S3G""]"
608,"['@Needle_of_Arya You mean the folks for whom their reaction to a Middle Eastern Rabbi from a family of refugees, always talking about love your neighbor, regardless of demographics, and helping the poor &amp; disadvantaged would be “Deport that radical woke commie libtard!!”😱😱?']"
609,['@FleurKirsten @AzimiMoz @AlboMP Oh for sure! Middle eastern refugees have brought so much harmony to the joint haven’t they..🙄']
610,"['Over 60,000 Tigrayan refugees have fled to eastern Sudan since the conflict began in #Tigray , #Ethiopia in November 2020,over a third of which are children. #TigrayGenocide &amp; #TigraySiege must end in order for these families to feel safe enough to return…']"
611,"['🚫500K killed\n🚫7M under siege\n🚫70K refugees &amp; 2.6M IDPs\n🚫No banks, No internet \n🚫No hospitals, No school\n🚫120k Tigrayan women &amp; girls have been violent raped, not including those living in currently occupied Western &amp; North Eastern #Tigray, where crimes are most pronounced. https://t.co/JZTrResgPA']"
612,"['My maternal grandfather, Bob Fine, the son of Jewish refugees fleeing Eastern European pogroms, would return to Europe to fight the Nazis. #ThanksALotAntifa https://t.co/9nr6AlIT0i']"
613,"['@LiljestromMarko @walberque @shashj @BarryPavel @kajakallas Turkey is redundant for @NATO , anymore. They are useful only to keep middle eastern refugees in the country and they are paid for it. About time @POTUS got rid of Turkey, not a democracy anymore, a threat to modern world, ruled by dictator Erdogan, just like Putin himself.']"
614,"['@cecurry Dude, 10,000 residents of eastern Ukraine &gt;150 children have died since 2014, this is not taking into account those who died in the territories controlled by Ukraine and not taking into account those who were tortured. In 2014, Russia accepted 3.5 million refugees from Ukraine.-&gt;']"
615,"['Why was the federal government resettling refugees in a rural, sparsely populated &amp; overwhelmingly white state in the North-eastern part of the US?\n\n📚 Refugees in new destinations &amp; small cities: Resettlement in Vermont - Pablo S Bose\n\n#RefugeeWeek\n\nhttps://t.co/ezvupkRktn']"
616,"['@angelcenna @josemorgado Also, Melbourne is home to Australia’s largest Jewish community. Many are descendants of Holocaust survivors and refugees from eastern Europe who settled here in the 1930s and 1940s. They live mostly in the city’s inner south-eastern part (near the beach like me)!']"
617,"['@BorisJohnson Prime Minister, you must stop all these illegal migrants and refugees from middle eastern, Afghanistan etc.. \nThis is a urgent matter. Its the only way you will win the next election. You cannot allow our towns to end up like Rotherham, Rochdale, Oldham etc..']"
618,"['@Wilhelmut_o1 @MrBobbySands Both by the looks of it,id say the ""real Ukrainian Refugees"" don\'t like the middle eastern and African scabs pretending to be them!!']"
619,"['That part of the survey is really not surprising, given Poland’s history and realities. What is surprising is that 80% of Poles now welcome refugees coming across their eastern border, even after millions have come https://t.co/y3pnmWcpK0']"
620,"['Ukraine war round-up: Fighting in the east and a seaside home for refugees\n\nRussia is attempting to encircle two cities in eastern Ukraine, and one woman offers a seaside refuge. https://t.co/c1hwrcnDTI']"
621,"['Ukraine war round-up: Fighting in the east and a seaside home for refugees\n\nRussia is attempting to encircle two cities in eastern Ukraine, and one woman offers a seaside refuge. https://t.co/TWdiXIjeIt']"
622,"[""@yagirljess_ What gets me is the fact that these Eastern European &amp; Russian women come over here to the USA &amp; treat us Black AMERICAN women like crap! They look down on us!! They are the frigging refugees!!  She's jus as bad as @erikajayne 🤮I dont even watch/DVR the show anymore""]"
623,"['@erfbeeass Those eastern European refugees will try anything to get into the UK, you know!']"
624,"[""@VCleastwanted @AdamKinzinger Helping Ukraine helps America.  Stability in Eastern Europe means more trade (lower prices), fewer refugees, dissuades further imperialist aggression, creates another American ally, and weakens America's enemies.""]"
625,['Poland has refuted Belarusian reports claiming that the country executed Iraqi refugees on the eastern EU borders last year.\nREAD MORE:  https://t.co/TfgzNYEGjA\n\n#Kurdistan #TwitterKurds @PLinIraq @PLinErbil @KrgPoland #Iraq #Poland https://t.co/IpsWkjHrYQ']
626,"[""@TouquetWes @DeanBryce6 @Femi_Sorry @BylineTV @nicolathorp_ I thought Middle Eastern Refugees came from The Middle East but you learn something new everyday. Unless they're actually French. Who knows. 😂""]"
627,['@Femi_Sorry @BylineTV @nicolathorp_ Literally the only difference between Ukrainian refugees and Middle Eastern Refugees is..... Answers on a postcard please']
628,['Poland has refuted Belarusian reports claiming that the country executed Iraqi refugees on the eastern EU borders last year.\n\n#Kurdistan #TwitterKurds #Iraq #Belarus @PLinErbil \nhttps://t.co/lv5VRASPj7']
629,"[""@Filomen03258997 @ReadeAlexandra And even if there's any truth to the claims, Belarus is responsible for the results. Refugees are by international law meant to stay in the first country they arrive in, not get thrown into the eastern European winter without any help.""]"
630,['Chicagoan returns home after spending months helping Ukrainian refugees in eastern Europe https://t.co/cCztAyCAnj https://t.co/xvNdW6i6ML']
631,"['@markpedwards1 @BNNUK Polio ist still existant in most of all South-Eastern EU-countries, thus it might be possible that refugees from Ucraine brought to UK. \nUnfortunately, 80% of all adults are lacking of a complete polio-immunization in West-EU.\nWell, Poland and Germany will be the next hotspot. 🙄']"
632,['Iraq’s Ministry of Foreign Affairs on Wednesday announced an investigation into Belarusian reports claiming that Polish border guards executed Iraqi refugees on the eastern EU borders last year. \n\n#Kurdistan | #TwitterKurds | #Iraq | #Poland | #Belarus \nhttps://t.co/Li7IAzMXDr']
633,"['Until all Ukrainians can return home safely, all revenues from The Eastern Front Trilogy will go to support Ukrainian refugees. https://t.co/ZvRg8AsiJr https://t.co/nyzNlRR3Zl']"
634,"['If only they were blonde with blue eyes... *sarcasm* \n\nPoland\'s solidarity towards the Ukrainian refugees reveals Warsaw\'s true racist nature. \n\nMiddle-Eastern and African refugees are stranding for months in the border. The ""solidarity lanes"" weren\'t made for them.\n\nShameful. https://t.co/Pqj5D9B0JY']"
635,['@ClarkeMicah Absolutely. As the son of displaced Polish refugees my family was horrified that Churchill and FDR gave Stalin eastern Poland. Meaning they couldn’t go home and so ended up here in the U.K. having fought under British command']
636,"['🚫500K killed\n🚫7M under siege\n🚫70K refugees &amp; 2.6M IDPs\n🚫No banks, No internet \n🚫No hospitals, No school\n🚫120k Tigrayan women &amp; girls have been violent raped, not including those living in currently occupied Western &amp; North Eastern #Tigray, where crimes are most pronounced. https://t.co/ABlIkDhfck']"
637,['We have launched our Employment Support service in conjunction with @CorkCityPartner tailored to Ukrainian refugees needs.We also offer this service to other Eastern European migrants in Cork area. \n@UKRinIRL @UkrainianAction @HSE_SI   @corkcitycouncil @NascIreland @TranslateIrl https://t.co/IpL9jyzWWw']
638,"['European mayors pledge support for Ukraine’s reconstruction\n \n“We’re already working on the emergency humanitarian side, especially in eastern Europe.” - Dario Nardella, @EUROCITIES \n\n👉 https://t.co/4vhRQXdzrE\n\n#cooperation #reconstruction #humanitarian #refugees https://t.co/vSr0DBDUct']"
639,"['@gamw_ta @fragosiriani @vanessahlarson @TravelLeisure Once again, the government not the people. Yes, I agree the government is weaponizing them. It is to gain more votes from the refugees who later were given passports. Also, you misspelled Istanbul. I also agree that western Turkey is indeed different form eastern Turkey. 1/2']"
640,"['@unherd @cmcdonaldgibson Please do better research.\n""Eastern European countries rolled out razor wire at their borders, and since then the EU’s refugee policy has focused on keeping people out.""\nNot true. Poland, Slovakia &amp; others had the same refugee approach in 2015 as in 2022. https://t.co/sjM6wlWBzK']"
641,"['In the future, we will help other places of temporary accommodation of refugees, because every day more and more people urgently leave their homes in the Eastern part of Ukraine and need help and protection.\n\n#RefugeesWelcome #WarInUkraine #SaveUkraine #Charity']"
642,['It seem to me the fastest way for those in Europe who oppose immigration and who seek to deter refugees to achieve their ends is to commit to policies that would see the median annual income in African and Middle Eastern nations rise above €10000.']
643,"[""@nadhimzahawi I see. The real reason your professional bully Home Secretary is bullying refugees from war torn middle eastern countries, on to planes set for Rwanda, where they bully refugees, is so they don't get bullied.""]"
644,['Rwandan soldiers (M23) with their partners soldiers from Uganda accused by civilians for committing massacres in Rutshuru Eastern of DRC Congo.\n@UNGeneva\n@Refugees \n@BBCBreaking \n@AJEnglish \n@antonioguterres \n@nypost https://t.co/cgugq1jbUb']
645,['europe has only let in 16 middle eastern refugees since 2010 but they all made award winning films about their experiences']
646,"['PHOTOS: Refugees from the Democratic Republic of Congo (DRC) wait in a line for lunch at the Nyakabande Holding Area in Kisoro, Uganda, June 7, 2022, following deadly fights between M23 rebels, one of more than 120 armed groups roaming eastern DRC, &amp; DRC troops\n\n@UNHCRuganda https://t.co/rbfnx4rZya']"
647,"['PHOTOS: Refugees from the Democratic Republic of Congo (DRC) wait in a line for lunch at the Nyakabande Holding Area in Kisoro, Uganda, June 7, 2022, following deadly fights between M23 rebels, one of more than 120 armed groups roaming eastern DRC, &amp; DRC troops\n\n#NTVNews via @AFP https://t.co/SBCvmVwfWQ']"
648,"['Ration cuts of up to 50% are affecting 3/4 of refugees supported by WFP in Eastern Africa, while in West Africa, where hunger has reached a record high, WFP has been forced to significantly reduce assistance here too.\n\nLearn more: https://t.co/FFWIiI2f2O\n\nStand #WithRefugees']"
649,"[""@FleischmanSteve @Sumetvia @ramzpaul Because Jews do like to separate themselves like a race. Also Israel isn't diverse, they literally did not take in any of the African and Middle Eastern refugees, this only leaving them with Palestinians who they love to beat on at their funerals after killing their journalists.""]"
650,"[""@castletongreene how is it moldova has accepted more ukrainian refugees than america despite the country's size, economic state and capacity? if they are able to do that and still holding on (and every other eastern european country accepting more refugees), i have high standards for the west.""]"
651,"['@ChaosIsMel yep especially regarding muslim people &amp; Indigenous Aboriginal people.\nalso aus has gotta be one of the most sinophobic places around bc we had a huge migration period in the 90s.\nalso we have offshore detention for refugees still, predominantly middle eastern and south asian']"
652,"['@AssalRad A German, who was going to an outdoor swimming pool in Berlin, the capital of Germany, was beaten and thrown out of the pool by many Middle Eastern refugees. Refugees secretly filmed women in the pool. As they do everywhere... https://t.co/fB9ZnoJ1Q4']"
653,"['Might I also add, European, Middle Eastern, African, Asian nor any other immigrants or refugees caused the Tory Cost of Living Crisis. The corrupt, lying, thieving Tories have.']"
654,"['@StarshipBased @tommys_shop @Munki412 @TimRunsHisMouth Apparently it is as we have refugees already here in Canada. The country is quite large, why not move away from the trouble for a bit, maybe it’ll end. If war started in Toronto I’m  not moving to Eastern Europe to escape it.']"
655,"['@Lucan_Mor Indeed I am, and when middle eastern fighting aged men running away from safe countries like France and Spain are claiming to be ""refugees"" or ""asylum seekers"" I don\'t doubt that they are actually economic migrants coming in trespassing illegally.']"
656,"[""@DenisRogatyuk @wyattreed13 And I personally wouldn't have any problem if any European country adopted such stance, if (and it's a very big if) they never had any hand in the destruction of said Middle Eastern Countries.\nThey can't destroy people's homelands and then send back refugees to the shitholes.""]"
657,"[""In fact, refugee resettlement literally takes bread from the mouths of the much larger number of refugees who aren't politically attractive enough to command the attention of Western virtue-signalers.\nhttps://t.co/cJbPY7TnM6""]"
658,"['@CatsBearsandMe @IanMCalvert @Jacqui_Smith1 @CatharineHoey @DavidLammy @BorisJohnson @pritipatel They aren’t it’s demographics they’ve reached the bottom of the barrel,why do you think Germany threw it’s doors open, then wanted to palm of the refugees with the least qualifications onto the Eastern EU country’s.']"
659,"[""@Mark_bon_w @Lumieres_mnt @AJfimia @BenStiller @ZelenskyyUa @Refugees What's amusing is that you'll cry about Ukrainian Nazis while completely ignoring Russia's use of Neo Nazi groups in Ukraine/Eastern Europe, Syria, and Africa. These Russian Nazi groups are backed by the kremlin. I’m talking about the Wagner group and Russian imperial movement.""]"
660,['@NedimCakmak11 @erwinrundenberg No surprises. Your people are going to die out of hunger on the streets. You’re going to loose navy and air force in the 1st 12h. Over 12000 dead in 1st 24h. Over 10 mil refugees. Turkey after that is going to break in 3-4 independent states. Possible loss of Eastern Thrace. 🙏']
661,"['@AviKaner @AJEnglish @Refugees Thank you! Our people were practically kicked out of Europe after the Holocaust, we were kicked out of middle eastern countries, we were kicked out of Arab countries and north African countries, and yet our people are the bad ones for going to the one place our people could go.']"
662,"['@SelinUnal_TR Hypocracy? @UN why are you silent against the UK sending refugees to Rwanda, against Greece sinking refugee boats? Why were you silent when refugees were shot to death at Polish border? Why were you silent when German minister threating airlines onboarding mid. eastern passengers']"
663,"['@CBlighty @pswhitmore @FOG1O1 @lottiebee77 @GaryLineker No more than it is of Ukrainians. And Middle Eastern countries take many, many more refugees than we do.']"
664,['VZ has to start building homes for Ukrainian refugees in Western side of Ukraine to start new lives. #VZ you have to forget and accept Eastern half of Ukraine is gone.']
665,"[""@AssalRad What I want to know is where are these Ukrainian refugees coming from considering the war hasn't even touched most of Ukraine? The war has been waging mainly within eastern Ukraine. How the hell did Ukrainians make it all the way into Germany &amp; why are they leaving Ukraine?""]"
666,"['@pmurnion @Refugees @BenStiller I am almost positive this Russia/Ukraine thing is one big scam or plan but that said, the racist claim is BS. Yemen is a middle eastern “problem” and needs to be solved by the middle eastern world, not ""us"". Ukraine is a European/NATO problem and so has to be dealt with.']"
667,['@AJEnglish @Refugees Of course you neglected to include the identical number of Jewish refugees expelled from Middle Eastern countries.']
668,['@_kijang1_ @AssalRad Middle eastern countries have literally taken the most refugees… smooth brain']
669,['@WAPolicyGreen @GovInslee ... Or else join forces with the refugees of Eastern Oregon to make a sane 51st state']
670,"[""@cherkas_natali @BenStiller @ZelenskyyUa @Refugees That's what Eastern Ukraine felt, and as of now Ukraine are shelling civilians.""]"
671,"['@NikosDendias @ABaerbock Minister Baerbock should be made aware of the \'weaponization\' and life-endangering pushing by Turkish human traffickers of huge flows illegal \'economic\' migrants (not ""refugees"" as per 1951 Geneva Refugee Convention) to EU borders and destabilizing the eastern Mediterranean &amp; EU.']"
672,"['@Rainbw_mansion The war in Ukraine has already put the European racism on display. Ukrainian refugees are people in need of help. Middle eastern refugees are terrorists or at best ""people we can\'t afford to help"". It\'s stark.']"
673,"['@envirorealism @strangerous10 Jesus, as an historical figure, was (bloody obviously) of Middle Eastern appearance, similar to our refugees. So swarthy and olive skinned, rather than the light skinned, Anglo which is portrayed in so many representations.']"
674,"[""Russia's military machine persevered in its ferocious effort to grind down Ukraine's defenses, as the war's consequences for food and fuel supplies increasingly weighed on minds around the globe after warnings that the fighting could go on for years.\nhttps://t.co/uYi6bcnk8A""]"
675,"[""Which countries do #refugees come from? What are the biggest factors forcing people them from their homes? Here you can learn more about World Vision's work in Middle East and Eastern Europe:  https://t.co/YWUhzyyFPi""]"
676,"['@_kijang1_ @AssalRad 1. Afghanistan is actually far from most Middle Eastern countries, if you mean neighbours each of Iran and Pakistan have received more than one million Afghan refugees.\n\n2. You destroyed the country yet you cannot even host the afghans who worked for you?']"
677,"['Any #Ukrainian who needs help in one of the Middle Eastern countries, in one of the Arab countries or in one of the Islamic countries, just contact us and we will do our best.\n\n#Ukraine \n#Refugees \n#StandWithUkraine️']"
678,['@mtracey He been UN goodwill ambassador on refugees since 2016 . Hundreds of thousands of Ukrainian refugees are spread across Eastern Europe .']
679,['WFP supports 3.5m #refugees in Eastern Africa.\n\nBut three-quarters of them are facing food ration cuts of up to 50% due to funding gaps.\n\n@WFP Regional Director for Eastern Africa @micdunford explains how this is affecting the health and welfare of refugees 👇\n\n#WorldRefugeeDay https://t.co/xJMD6MBdI6']
680,['Seriously Russia and China need to take some African and middle-Eastern refugees.']
681,"['@girlnamed_Seth @bamawolf2004 Don’t forget His Son - brown, middle Eastern child of refugees, socialist friend of prostitutes, outcasts, and lepers, hater of Pharisees preaching godliness but anything but Godly in their acts…']"
682,"['@TreeGrumpy @AlyTheRebel @Ozzsanity @ParkerMolloy You can’t? But you clearly can. As someone who is middle eastern, and still love my family that is a little bigoted against refugees, and immigrants. Are you saying I should cut them out?\n\nWhat you’re doing is cult like behaviour. Not all minority groups cut out their families']"
683,"['...internally displaced persons (IDPs) in north-eastern Nigeria, over 684,000 IDPs in Cameroon, Chad and Niger and 304,000 refugees in the neighboring countries.\n\nThe World Refugee Day is an occasion to raise awareness on the unique health needs of refugees and people on the...']"
684,"['@mz8kALwwrNpo3nh @RebelChick1111 @BenStiller @ZelenskyyUa @Refugees No,  just eastern Ukraine. Why would a nuclear power succeed land?']"
685,['@innavladk @Miolkooz Stop spreading propaganda! You are just a troll from russia. Your account was created when the war started. We have many russian speaking refugees from Eastern Ukraine and they all blaim russia for destroyed lives and killed relatives']
686,"[""'You are my hero': Ben Stiller meets President Volodymyr Zelensky [watch]\nhttps://t.co/RH8gd2rPQZ\nBen Stiller, who is an ambassador for the UN refugee agency, has been in eastern Europe visiting Ukrainian refugees.""]"
687,"['@KingC65964870 @chiumubiafra208 @igbo_star @nwokolo_leo IPOB sounds more like zoo to me. Cos dey aren’t behaving any better than Nigeria bad govt! Same thing bad govt k!lls IPOB k!lls what the difference. Boko k!lls,bandit k!lls. Y’all k!lls! By d Tym u realize it d eastern region is war torn! And Y’all bcos refugees!']"
688,"['A few months back @HomeHobb1 reached out to refugees at the Eastern region of Ghana who fled the current Anglophone crisis in Cameroon. We provided food, clothing and consoling words to them. We stand with all refugees\n\n@UNOCHA #Westandwithrefugees https://t.co/spwHYM1e7E']"
689,['Russian shelling and airstrikes on the industrial outskirts of Sievierodonetsk have intensified.\n\nhttps://t.co/kyBMe48J0A']
690,"['Priti Patel is an Indian-origin Minister. Yet Ukrainian refugees are given preferential treatment over African, Middle Eastern and Asian refugees. Why is that?\nhttps://t.co/z52NGyo097']"
691,"['As the number one destination for Afghan refugees, Iran alone, more than any other European or Western country in times of crisis, has opened its arms to accept asylum seekers from its eastern neighbor.\nhttps://t.co/JkOUCD0AWN']"
692,"[""In Ukraine's eastern Luhansk region, which in recent weeks has become the focal point of Moscow's attempt to impose its will on its neighbor, battles raged for the control of multiple villages, the local governor said.\n\nhttps://t.co/hloEni2X3o""]"
693,"['Thanos’ infinity gauntlet? \nGold hand decorated with rubies, emeralds and turquoise. The style resembles jewel encrusted works of the Ottoman court, brought to Greece by refugees from Asia Minor and Eastern Thrace (1922) and kept at the Benaki Museum. Traces of Archaeology https://t.co/VoY7VB1rcN']"
694,"['@jarmilak123 @propornot @Briankmcneal @ClareDalyMEP @RobinOfBroccoli ""You are very naive. (...).""\n- oh no. I\'m just a guy from central-eastern Europe, who knows history of this area very well, every day on the streets of his home town sees war refugees from Ukraine &amp; studies with a Ukrainian whose sister felt in battle near Mariupol last year.']"
695,"['In the Middle East and Eastern Europe, World Vision has been supporting children and their families who have been forcibly replaced for decades. Learn more about our response to needs of refugees here 👇 https://t.co/YWUhzyyFPi \n\n#InAnInstant #WorldRefugeeDay https://t.co/mmap23FKl2']"
696,"['In eastern Africa, Somalia – where large numbers of refugees in Kenya originate – punishes homosexual acts by death. However, expecting a safer, friendlier environment in Kenya, asylum seekers are quickly disillusioned https://t.co/PVrOSAczWu']"
697,"['The people who will be hurt by Le Pen’s win are the refugees, immigrants, BIPOC French citizens, French Muslims and Jews, Eastern European *guest workers*, and LGBTQA minorities. \n\nThe average white French person will be fine. That’s the New Right’s platform. Ask Alabama. https://t.co/pmL1cqoKnL']"
698,"['🚩🚩 Here comes more asylum seekers, just like Europe with African and Middle Eastern refugees. 🚩 🚩 America needs a Immigration Moratorium ASAP! 🚩🚩 https://t.co/Xtn1UhS3Bt']"
699,"['@KatrinaNation Does this include the 13,000 killed, many more thousands injured and 3 million ethnic Russian refugees from Eastern Ukraine, that fled to Russia, from 2014 until Russia decided enough. The Ukraine government with its Azov Nazi battalion in Donbas, responsible']"
700,"['@jumpingleaves1 @JackPosobiec @EricGreitens If you destroyed a Countries values and imported thousands of Middle Eastern refugees to your Country, I believe you will also disappear. And Trump was right, Russian Gas!!!!!!']"
701,"[""@alibomaye @amnesty If I am older than 50 yo, injured, disabled, I'll stay in Turkey until I get Amnesty International to send me to Canada. Vancouver has great welfare and nice hospitality towards middle eastern refugees. My Muslim Google Staff moved family from California to Vancouver. He's happy""]"
702,['@thatdayin1992 They already are. They’re begging Poland to return make refugees and the west is recruiting other Eastern European countries to get ukrained (Lithuania)']
703,"[""@asmuniz @BRyvkin Under Tusk, a strong Poland was in Germany's interests because Tusk acted as Merkel's enforcer both in Eastern Europe but also at the EU level. Donald Tusk ensured Eastern Europe willingly committed itself to Merkel's project during the difficult days of Brexit/refugees/Greece""]"
704,"['""Catholic refugees displaced by war &amp; man-induced famines in Middle Eastern &amp; African countries gathered to thank Cardinal Thomas Collins for his commitment to their integration into a world where they could be free to pursue a future of their own making"" \nhttps://t.co/DrQNniFo7m']"
705,"['Refugees and Asylum Seekers belong in Camps they should not be Integrated with Us. The violence in Eastern Cape, the Pillage of Our rail infrastructure, killing of South Africans etc is living proof that these things are Misplaced in our Communities. #PutSouthAficansFirst https://t.co/Di4LjVSE4B']"
706,"[""@Slothsrcool1 @Futureproof777 @johnd090157 @Khemtgat @ClareDalyMEP I'm curious, do you believe what you wrote just now? Whole country united? Men were crossdressing to flee. Others rent houses in western part to not fight on the eastern front. A lot of eastern refugees chose to flee to Russia. Locals give out location of Ukrainian military.""]"
